phi_deg,none disabled,L<=0.01 disabled,L<=0.02 disabled,L<=0.03 disabled,L<=0.04 disabled,L<=0.05 disabled,L<=0.06 disabled,L<=0.07 disabled,L<=0.08 disabled,L<=0.09 disabled,L<=0.10 disabled,L<=0.11 disabled,L<=0.12 disabled,L<=0.13 disabled,L<=0.14 disabled,L<=0.15 disabled,L<=0.16 disabled,L<=0.17 disabled,L<=0.18 disabled,L<=0.19 disabled
-1.75,3.4032275070875357e+19,1.6879738259511808e+18,1.687769084552039e+18,4.684366357447909e+17,4.684108805394235e+17,2.0415767416302726e+17,2.0414998473444422e+17,1.071244546093246e+17,1.0712118949953216e+17,6.137510845231639e+16,6.137344372248153e+16,3.631044412399441e+16,3.630948068221514e+16,2.1168750814641364e+16,2.11681455206502e+16,1.1389564827585636e+16,1.1389163989776142e+16,4737048222613947.0,4736767714646068.0,201752881386.42776
-1.25,3.3978882948568785e+19,1.678882958985336e+18,1.6786787882184005e+18,4.6507128004949504e+17,4.650456917745087e+17,2.0281657047740202e+17,2.02808945376276e+17,1.0663291596281989e+17,1.0662967812315301e+17,6.1232905756513896e+16,6.123125250929088e+16,3.632137122389448e+16,3.63204127511376e+16,2.1236602840627612e+16,2.1235998207454276e+16,1.1440558447536336e+16,1.1440156031364682e+16,4757938495262964.0,4757656703161355.0,202579089938.68375
-0.75,3.396967633976744e+19,1.678348519830813e+18,1.678144403881324e+18,4.648627350374617e+17,4.6483715363262586e+17,2.026784377666944e+17,2.026708147128182e+17,1.0652060743073368e+17,1.065173704603886e+17,6.113278659255781e+16,6.11311337892122e+16,3.622936176994804e+16,3.622840377481305e+16,2.1158525988600996e+16,2.1157922576748196e+16,1.1393880365998714e+16,1.1393479602267146e+16,4739507604267269.0,4739226967022704.0,201850791712.536
-0.25,3.396967633976744e+19,1.678348519830813e+18,1.678144403881324e+18,4.648627350374617e+17,4.6483715363262586e+17,2.026784377666944e+17,2.026708147128182e+17,1.0652060743073368e+17,1.065173704603886e+17,6.113278659255781e+16,6.11311337892122e+16,3.622936176994804e+16,3.622840377481305e+16,2.1158525988600996e+16,2.1157922576748196e+16,1.1393880365998714e+16,1.1393479602267146e+16,4739507604267269.0,4739226967022704.0,201850791712.536
0.25,3.396718449077583e+19,1.6769919775278405e+18,1.6767878687547118e+18,4.6354885677530336e+17,4.63523276269865e+17,2.013737774465175e+17,2.013661546606546e+17,1.052193278519296e+17,1.0521609116717291e+17,5.984377760755208e+16,5.98421262603059e+16,3.5021525062113796e+16,3.5020573327707836e+16,2.012522625373758e+16,2.012463636439749e+16,1.0693338609852592e+16,1.0692955696358786e+16,4401816993983019.5,4401554263856759.0,186162446835.99588
0.75,1.7111340247404808e+19,7.361153193872872e+17,7.360177371495511e+17,1.8472900736510435e+17,1.8471793222769894e+17,7.643620811476051e+16,7.643320003171565e+16,4.012904861786755e+16,4.012785577851113e+16,2.3675021470554908e+16,2.3674423495017456e+16,1.4619229293920422e+16,1.4618879854435014e+16,9035942654804948.0,9035711631420632.0,5158892633802171.0,5158725152579061.0,2245278292927798.2,2245151343082602.5,99425561592.9838
1.25,5.751710841417319e+18,3.700639735445282e+17,3.700266655315403e+17,1.2290555153550275e+17,1.2289987075762538e+17,6.085384540115152e+16,6.085195391115169e+16,3.603688030270353e+16,3.603599131825147e+16,2.2776683783651264e+16,2.2776167002654744e+16,1.4514692786341618e+16,1.4514359843492814e+16,9025236061852512.0,9025006525343248.0,5156835062971100.0,5156667692402696.0,2244521098094053.8,2244394194348369.8,99391938749.45222
1.75,5.750912670395882e+18,3.7001277989635117e+17,3.699754770617487e+17,1.2288866369619498e+17,1.2288298370681462e+17,6.084557039386191e+16,6.08436791553547e+16,3.603187836850252e+16,3.60309895044582e+16,2.2773522373540484e+16,2.2773005664273628e+16,1.4512678147931872e+16,1.451234525129583e+16,9023983364920036.0,9023753860270644.0,5156119303538946.0,5155951956201727.0,2244209570431281.0,2244082684299950.0,99392005630.2811
2.25,5.753899822765309e+18,3.7033512279960736e+17,3.7029780149133894e+17,1.2308862211031909e+17,1.2308293930800971e+17,6.101480290233698e+16,6.101291072722245e+16,3.618882227047208e+16,3.618793287994828e+16,2.291888176155366e+16,2.2918364369746708e+16,1.4638358434714978e+16,1.4638024243773886e+16,9118300452067470.0,9118069106773754.0,5211360801076531.0,5211191518312880.0,2266202785251658.0,2266074547242164.0,100259706697.11873
2.75,5.758326093744741e+18,3.719861027779226e+17,3.719487438807844e+17,1.2415392316739032e+17,1.2414821507273051e+17,6.161703726471587e+16,6.161512425610959e+16,3.643467565566725e+16,3.64337719114447e+16,2.2946968955151892e+16,2.2946443449706e+16,1.4561887267020072e+16,1.4561550332749432e+16,9024529103217948.0,9024298393984270.0,5148983855610745.0,5148816606281393.0,2241084147345063.8,2240957447668337.8,99248882387.5148
