phi_deg,none disabled,L<=0.01 disabled,L<=0.02 disabled,L<=0.03 disabled,L<=0.04 disabled,L<=0.05 disabled,L<=0.06 disabled,L<=0.07 disabled,L<=0.08 disabled,L<=0.09 disabled,L<=0.10 disabled,L<=0.11 disabled,L<=0.12 disabled,L<=0.13 disabled,L<=0.14 disabled,L<=0.15 disabled,L<=0.16 disabled,L<=0.17 disabled,L<=0.18 disabled,L<=0.19 disabled
-44.25,54527568737.53342,54527568737.53342,54527568737.53342,54527568737.53342,54527568737.53342,54527568737.53342,54527568737.53342,54527568737.53342,54527568737.53342,54527568737.53342,54527568737.53342,54527568737.53342,54527568737.53342,54522998773.23683,54522983874.913185,53110795133.804146,53110622996.30382,43377534467.083084,43376495695.55891,3504167.2394866864
-43.75,48557487012.75998,48557487012.75998,48557487012.75998,48557487012.75998,48557487012.75998,48557487012.75998,48557487012.75998,48557487012.75998,48557487012.75998,48557487012.75998,48557487012.75998,48557487012.75998,48557487012.75998,48552953839.15123,48552938927.14591,47139124783.09716,47138952418.15383,36987209978.41734,36986167287.99485,2599033.3285449003
-43.25,44283276748.11213,44283276748.11213,44283276748.11213,44283276748.11213,44283276748.11213,44283276748.11213,44283276748.11213,44283276748.11213,44283276748.11213,44283276748.11213,44283276748.11213,44283276748.11213,44283276748.11213,44283276748.34774,44283269829.95682,43610217383.04225,43610132150.99814,35785165406.970276,35784216734.078285,2520854.0266692815
-42.75,41268015784.09024,41268015784.09024,41268015784.09024,41268015784.09024,41268015784.09024,41268015784.09024,41268015784.09024,41268015784.09024,41268015784.09024,41268015784.09024,41268015784.09024,41268015784.09024,41268015784.09024,41268015784.32587,41268015784.32485,41267487523.81562,41267484044.43782,35719599911.5971,35718741688.05515,2601370.46625892
-42.25,34699149653.55566,34699149653.55566,34699149653.55566,34699149653.55566,34699149653.55566,34699149653.55566,34699149653.55566,34699149653.55566,34699149653.55566,34699149653.55566,34699149653.55566,34699149653.55566,34699149653.55566,34699149653.791756,34699149653.791794,34698620436.33152,34698616949.9868,30054548375.744045,30053832326.42513,2253510.7159857196
-41.75,28322501676.127495,28322501676.127495,28322501676.127495,28322501676.127495,28322501676.127495,28322501676.127495,28322501676.127495,28322501676.127495,28322501676.127495,28322501676.127495,28322501676.127495,28322501676.127495,28322501676.127495,28322501676.127495,28322501676.127495,28321972636.0868,28321969150.922268,24596856262.813004,24596284927.56328,1921936.1981802576
-41.25,28100504623.842396,28100504623.842396,28100504623.842396,28100504623.842396,28100504623.842396,28100504623.842396,28100504623.842396,28100504623.842396,28100504623.842396,28100504623.842396,28100504623.842396,28100504623.842396,28100504623.842396,28100504623.842396,28100504623.842396,28099975857.950478,28099972374.59196,24376789841.57678,24376218802.393223,1805979.342370835
-40.75,22287102773.6006,22287102773.6006,22287102773.6006,22287102773.6006,22287102773.6006,22287102773.6006,22287102773.6006,22287102773.6006,22287102773.6006,22287102773.6006,22287102773.6006,22287102773.6006,22287102773.6006,22287102773.6006,22287102773.6006,22286757483.19459,22286755208.52014,19392272828.401604,19391826395.433662,1483955.6048748195
-40.25,6969264774.467913,6969264774.467913,6969264774.467913,6969264774.467913,6969264774.467913,6969264774.467913,6969264774.467913,6969264774.467913,6969264774.467913,6969264774.467913,6969264774.467913,6969264774.467913,6969264774.467913,6969264774.467913,6969264774.467913,6969216847.73779,6969216532.010184,6246997718.832207,6246883329.077091,664201.2194193819
-39.75,2009643483.278457,2009643483.278457,2009643483.278457,2009643483.278457,2009643483.278457,2009643483.278457,2009643483.278457,2009643483.278457,2009643483.278457,2009643483.278457,2009643483.278457,2009643483.278457,2009643483.278457,2009643483.278457,2009643483.278457,2009595658.7253158,2009595343.6708226,1995805249.0292466,1995802438.9080775,426470.5866421255
-39.25,1831504534.7174492,1831504534.7174492,1831504534.7174492,1831504534.7174492,1831504534.7174492,1831504534.7174492,1831504534.7174492,1831504534.7174492,1831504534.7174492,1831504534.7174492,1831504534.7174492,1831504534.7174492,1831504534.7174492,1831504534.7174492,1831504534.7174492,1831456662.2891526,1831456346.9192717,1817652447.59198,1817649634.6577163,387134.2102435766
-38.75,1731747930.7095888,1731747930.7095888,1731747930.7095888,1731747930.7095888,1731747930.7095888,1731747930.7095888,1731747930.7095888,1731747930.7095888,1731747930.7095888,1731747930.7095888,1731747930.7095888,1731747930.7095888,1731747930.7095888,1731747930.7095888,1731747930.7095888,1731722238.9686322,1731722069.7187927,1724313860.1382463,1724311404.0559945,367266.72975926404
-38.25,1357357127.072299,1357357127.072299,1357357127.072299,1357357127.072299,1357357127.072299,1357357127.072299,1357357127.072299,1357357127.072299,1357357127.072299,1357357127.072299,1357357127.072299,1357357127.072299,1357357127.072299,1357357127.072299,1357357127.072299,1357357127.0753345,1357357127.0753546,1357357127.9506729,1357355072.1187832,287043.64831855707
-37.75,1229511777.892682,1229511777.892682,1229511777.892682,1229511777.892682,1229511777.892682,1229511777.892682,1229511777.892682,1229511777.892682,1229511777.892682,1229511777.892682,1229511777.892682,1229511777.892682,1229511777.892682,1229511777.892682,1229511777.892682,1229511777.892682,1229511777.892682,1229511777.892682,1229509728.3863423,258863.95416395157
-37.25,661600725.9285171,661600725.9285171,661600725.9285171,661600725.9285171,661600725.9285171,661600725.9285171,661600725.9285171,661600725.9285171,661600725.9285171,661600725.9285171,661600725.9285171,661600725.9285171,661600725.9285171,661600725.9285171,661600725.9285171,661600725.9285171,661600725.9285171,661600725.9285171,661598844.6640675,134542.24770601632
-36.75,38732557.73308796,38732557.73308796,38732557.73308796,38732557.73308796,38732557.73308796,38732557.73308796,38732557.73308796,38732557.73308796,38732557.73308796,38732557.73308796,38732557.73308796,38732557.73308796,38732557.73308796,38732557.73308796,38732557.73308796,38732557.73308796,38732557.73308796,38732557.73308796,38731745.608293846,3599.9383402085946
-36.25,252000.26575637382,252000.26575637382,252000.26575637382,252000.26575637382,252000.26575637382,252000.26575637382,252000.26575637382,252000.26575637382,252000.26575637382,252000.26575637382,252000.26575637382,252000.26575637382,252000.26575637382,252000.26575637382,252000.26575637382,252000.26575637382,252000.26575637382,252000.26575637382,251994.98229972535,35.11224822533554
-35.75,253391.0390576023,253391.0390576023,253391.0390576023,253391.0390576023,253391.0390576023,253391.0390576023,253391.0390576023,253391.0390576023,253391.0390576023,253391.0390576023,253391.0390576023,253391.0390576023,253391.0390576023,253391.0390576023,253391.0390576023,253391.0390576023,253391.0390576023,253391.0390576023,253385.72632752458,35.305586662340836
