L_rlu,Qz_A_inv,F2,R_HT_p_0p01,I_HT_p_0p01,R_HT_p_0p001,I_HT_p_0p001,R_HT_p_0p0001,I_HT_p_0p0001,R_HT_p_0p0,I_HT_p_0p0
0.029,0.00636305258793854,602626.8518448125,2.3570881809855875,9.3565472115869e+16,2.3570881809855875,9.3565472115869e+16,2.3570881809855875,9.3565472115869e+16,2.3570881809855875,9.3565472115869e+16
0.03,0.006582468194419179,602517.1581219995,2.258260386851343,8.962614965021765e+16,2.258260386851343,8.962614965021765e+16,2.258260386851343,8.962614965021765e+16,2.258260386851343,8.962614965021765e+16
0.031,0.006801883800899818,602403.4880777205,2.063580662738466,8.188422283513133e+16,2.063580662738466,8.188422283513133e+16,2.063580662738466,8.188422283513133e+16,2.063580662738466,8.188422283513133e+16
0.032,0.0070212994073804574,602285.8434894823,1.7960159596565564,7.125316350312985e+16,1.7960159596565564,7.125316350312985e+16,1.7960159596565564,7.125316350312985e+16,1.7960159596565564,7.125316350312985e+16
0.033,0.007240715013861097,602164.2261979666,1.4826150113977088,5.880776145879369e+16,1.4826150113977088,5.880776145879369e+16,1.4826150113977088,5.880776145879369e+16,1.4826150113977088,5.880776145879369e+16
0.034,0.007460130620341736,602038.6381069911,1.1517398638753276,4.567410726839111e+16,1.1517398638753276,4.567410726839111e+16,1.1517398638753276,4.567410726839111e+16,1.1517398638753276,4.567410726839111e+16
0.035,0.007679546226822376,601909.0811834679,0.830502156610354,3.292781888337189e+16,0.830502156610354,3.292781888337189e+16,0.830502156610354,3.292781888337189e+16,0.830502156610354,3.292781888337189e+16
0.036000000000000004,0.007898961833303015,601775.5574573653,0.542577142710262,2.150737176097953e+16,0.542577142710262,2.150737176097953e+16,0.542577142710262,2.150737176097953e+16,0.542577142710262,2.150737176097953e+16
0.037,0.008118377439783653,601638.0690216641,0.30652657494876623,1.2147719223219612e+16,0.30652657494876623,1.2147719223219612e+16,0.30652657494876623,1.2147719223219612e+16,0.30652657494876623,1.2147719223219612e+16
0.038,0.008337793046264292,601496.6180323123,0.13471274427653043,5337442104449585.0,0.13471274427653043,5337442104449585.0,0.13471274427653043,5337442104449585.0,0.13471274427653043,5337442104449585.0
0.039,0.008557208652744933,601351.2067081816,0.03283425321594336,1300608637686312.2,0.03283425321594336,1300608637686312.2,0.03283425321594336,1300608637686312.2,0.03283425321594336,1300608637686312.2
0.04,0.008776624259225572,601201.8373310209,6.365936460397847e-05,2521006136031.702,6.365936460397847e-05,2521006136031.702,6.365936460397847e-05,2521006136031.702,6.365936460397847e-05,2521006136031.702
0.041,0.00899603986570621,601048.5122454074,0.029721733715932855,1176724970559576.8,0.029721733715932855,1176724970559576.8,0.029721733715932855,1176724970559576.8,0.029721733715932855,1176724970559576.8
0.042,0.009215455472186851,600891.2338586984,0.11038594575340482,4369190244231054.0,0.11038594575340482,4369190244231054.0,0.11038594575340482,4369190244231054.0,0.11038594575340482,4369190244231054.0
0.043000000000000003,0.00943487107866749,600730.0046409791,0.22730429370968522,8994525714032002.0,0.22730429370968522,8994525714032002.0,0.22730429370968522,8994525714032002.0,0.22730429370968522,8994525714032002.0
0.044,0.009654286685148129,600564.8271250132,0.36397115948988246,1.4398530470851076e+16,0.36397115948988246,1.4398530470851076e+16,0.36397115948988246,1.4398530470851076e+16,0.36397115948988246,1.4398530470851076e+16
0.045,0.009873702291628768,600395.7039061874,0.5037198697581345,1.9921313154577736e+16,0.5037198697581345,1.9921313154577736e+16,0.5037198697581345,1.9921313154577736e+16,0.5037198697581345,1.9921313154577736e+16
0.046,0.010093117898109407,600222.6376424584,0.6311964657922693,2.4955612503184332e+16,0.6311964657922693,2.4955612503184332e+16,0.6311964657922693,2.4955612503184332e+16,0.6311964657922693,2.4955612503184332e+16
0.047,0.010312533504590047,600045.6310542964,0.7335992958481541,2.8995759426978136e+16,0.7335992958481541,2.8995759426978136e+16,0.7335992958481541,2.8995759426978136e+16,0.7335992958481541,2.8995759426978136e+16
0.048,0.010531949111070686,599864.6869246266,0.8015971773131264,3.1673844462100784e+16,0.8015971773131264,3.1673844462100784e+16,0.8015971773131264,3.1673844462100784e+16,0.8015971773131264,3.1673844462100784e+16
0.049,0.010751364717551325,599679.8080987732,0.8298722459963946,3.2780982831863188e+16,0.8298722459963946,3.2780982831863188e+16,0.8298722459963946,3.2780982831863188e+16,0.8298722459963946,3.2780982831863188e+16
0.05,0.010970780324031966,599490.9974843982,0.8172691642673766,3.227298104946787e+16,0.8172691642673766,3.227298104946787e+16,0.8172691642673766,3.227298104946787e+16,0.8172691642673766,3.227298104946787e+16
0.051000000000000004,0.011190195930512604,599298.2580514393,0.7665670414524405,3.0261082686097116e+16,0.7665670414524405,3.0261082686097116e+16,0.7665670414524405,3.0261082686097116e+16,0.7665670414524405,3.0261082686097116e+16
0.052000000000000005,0.011409611536993243,599101.592832049,0.6839214169246668,2.6989695331126296e+16,0.6839214169246668,2.6989695331126296e+16,0.6839214169246668,2.6989695331126296e+16,0.6839214169246668,2.6989695331126296e+16
0.053,0.011629027143473882,598901.0049205297,0.5780486194078827,2.280398329092147e+16,0.5780486194078827,2.280398329092147e+16,0.5780486194078827,2.280398329092147e+16,0.5780486194078827,2.280398329092147e+16
0.054,0.011848442749954521,598696.497473269,0.4592420280953922,1.8110883946896384e+16,0.4592420280953922,1.8110883946896384e+16,0.4592420280953922,1.8110883946896384e+16,0.4592420280953922,1.8110883946896384e+16
0.055,0.012067858356435162,598488.0737086724,0.33831824662396004,1.3337432235394264e+16,0.33831824662396004,1.3337432235394264e+16,0.33831824662396004,1.3337432235394264e+16,0.33831824662396004,1.3337432235394264e+16
0.056,0.0122872739629158,598275.7369070965,0.22559076821015422,8890250895909994.0,0.22559076821015422,8890250895909994.0,0.22559076821015422,8890250895909994.0,0.22559076821015422,8890250895909994.0
0.057,0.01250668956939644,598059.4904107805,0.12995992737653408,5119707511475705.0,0.12995992737653408,5119707511475705.0,0.12995992737653408,5119707511475705.0,0.12995992737653408,5119707511475705.0
0.058,0.01272610517587708,597839.3376237724,0.058192041529283645,2291603019178775.0,0.058192041529283645,2291603019178775.0,0.058192041529283645,2291603019178775.0,0.058192041529283645,2291603019178775.0
0.059000000000000004,0.012945520782357719,597615.2820118617,0.014439418962586503,568411317320453.8,0.014439418962586503,568411317320453.8,0.014439418962586503,568411317320453.8,0.014439418962586503,568411317320453.8
0.06,0.013164936388838358,597387.3271025026,2.8480146936402666e-05,1120700420652.4368,2.8480146936402666e-05,1120700420652.4368,2.8480146936402666e-05,1120700420652.4368,2.8480146936402666e-05,1120700420652.4368
