L_rlu,Qz_A_inv,bandwidth_sigma_fraction,I_HT_raw_p_0p01,I_HT_bandwidth_avg_p_0p01,I_HT_raw_p_0p001,I_HT_bandwidth_avg_p_0p001,I_HT_raw_p_0p0001,I_HT_bandwidth_avg_p_0p0001,I_HT_raw_p_0p0,I_HT_bandwidth_avg_p_0p0
0.075,0.016456170486047948,0.006999999999999999,7173796285018802.0,7184170974064499.0,7173796285018802.0,7184170974064499.0,7173796285018802.0,7184170974064499.0,7173796285018802.0,7184170974064499.0
0.076,0.016675586092528585,0.006999999999999999,4827655238101217.0,4883922207349795.0,4827655238101217.0,4883922207349795.0,4827655238101217.0,4883922207349795.0,4827655238101217.0,4883922207349795.0
0.077,0.016895001699009225,0.006999999999999999,2805989562256955.0,2901910808784694.0,2805989562256955.0,2901910808784694.0,2805989562256955.0,2901910808784694.0,2805989562256955.0,2901910808784694.0
0.078,0.017114417305489866,0.006999999999999999,1267295169116291.8,1392957637620695.2,1267295169116291.8,1392957637620695.2,1267295169116291.8,1392957637620695.2,1267295169116291.8,1392957637620695.2
0.079,0.017333832911970503,0.006999999999999999,317089534099919.75,459921587187781.9,317089534099919.75,459921587187781.9,317089534099919.75,459921587187781.9,317089534099919.75,459921587187781.9
0.08,0.017553248518451144,0.006999999999999999,630499626929.8732,146655210604792.78,630499626929.8732,146655210604792.78,630499626929.8732,146655210604792.78,630499626929.8732,146655210604792.78
0.081,0.017772664124931784,0.006999999999999999,301615343874811.06,436814822194587.56,301615343874811.06,436814822194587.56,301615343874811.06,436814822194587.56,301615343874811.06,436814822194587.56
0.082,0.01799207973141242,0.006999999999999999,1146690625630142.5,1258436156083935.0,1146690625630142.5,1258436156083935.0,1146690625630142.5,1258436156083935.0,1146690625630142.5,1258436156083935.0
0.083,0.018211495337893062,0.006999999999999999,2415075776044940.5,2493005220305548.5,2415075776044940.5,2493005220305548.5,2415075776044940.5,2493005220305548.5,2415075776044940.5,2493005220305548.5
0.084,0.018430910944373703,0.006999999999999999,3952164224979573.0,3989431750893360.0,3952164224979573.0,3989431750893360.0,3952164224979573.0,3989431750893360.0,3952164224979573.0,3989431750893360.0
0.085,0.01865032655085434,0.006999999999999999,5585651120097402.0,5579232134842281.0,5585651120097402.0,5579232134842281.0,5585651120097402.0,5579232134842281.0,5585651120097402.0,5579232134842281.0
0.08600000000000001,0.01886974215733498,0.006999999999999999,7142569628863234.0,7093692629808093.0,7142569628863234.0,7093692629808093.0,7142569628863234.0,7093692629808093.0,7142569628863234.0,7093692629808093.0
0.08700000000000001,0.01908915776381562,0.006999999999999999,8465607170552707.0,8379582574985827.0,8465607170552707.0,8379582574985827.0,8465607170552707.0,8379582574985827.0,8465607170552707.0,8379582574985827.0
0.088,0.019308573370296258,0.006999999999999999,9427212838050900.0,9312867492345422.0,9427212838050900.0,9312867492345422.0,9427212838050900.0,9312867492345422.0,9427212838050900.0,9312867492345422.0
0.089,0.019527988976776895,0.006999999999999999,9940278377739950.0,9809055408287136.0,9940278377739950.0,9809055408287136.0,9940278377739950.0,9809055408287136.0,9940278377739950.0,9809055408287136.0
0.09,0.019747404583257536,0.006999999999999999,9964546866894342.0,9829366336736228.0,9964546866894342.0,9829366336736228.0,9964546866894342.0,9829366336736228.0,9964546866894342.0,9829366336736228.0
